cname1,year,milex_sipri
"Ukraine",2016,3507
"Ukraine",2017,3505
"Ukraine",2018,4170
"United Kingdom",1993,50478
"United Kingdom",1994,49089
"United Kingdom",1995,46043
"United Kingdom",1996,45602
"United Kingdom",1997,43983
"United Kingdom",1998,44127
"United Kingdom",1999,43891
"United Kingdom",2000,44862
"United Kingdom",2001,46541
"United Kingdom",2002,49427
"United Kingdom",2003,52975
"United Kingdom",2004,53568
"United Kingdom",2005,53995
"United Kingdom",2006,54278
"United Kingdom",2007,55960
"United Kingdom",2008,58510
"United Kingdom",2009,59766
"United Kingdom",2010,58962
"United Kingdom",2011,56813
"United Kingdom",2012,54524
"United Kingdom",2013,52355
"United Kingdom",2014,50996
"United Kingdom",2015,49838
"United Kingdom",2016,49912
"United Kingdom",2017,49412
"United Kingdom",2018,49892
"United States",1993,550542
"United States",1994,521923
"United States",1995,487525
"United States",1996,461007
"United States",1997,458622
"United States",1998,448266
"United States",1999,449369
"United States",2000,466759
"United States",2001,470550
"United States",2002,528337
"United States",2003,601335
"United States",2004,655407
"United States",2005,685595
"United States",2006,695474
"United States",2007,714032
"United States",2008,765973
"United States",2009,826247
"United States",2010,849867
"United States",2011,839803
"United States",2012,793157
"United States",2013,732148
"United States",2014,687112
"United States",2015,671509
"United States",2016,669448
"United States",2017,662550
"United States",2018,682491
"Yugoslavia",1993,
"Yugoslavia",1994,
"Yugoslavia",1995,
"Yugoslavia",1996,
"Yugoslavia",1997,
"Yugoslavia",1998,
"Yugoslavia",1999,
"Yugoslavia",2000,
"Yugoslavia",2001,
"Yugoslavia",2002,
"Yugoslavia",2003,
"Yugoslavia",2004,
"Yugoslavia",2005,
"Yugoslavia",2006,
"Yugoslavia",2007,
"Yugoslavia",2008,
"Yugoslavia",2009,
"Yugoslavia",2010,
"Yugoslavia",2011,
"Yugoslavia",2012,
"Yugoslavia",2013,
"Yugoslavia",2014,
"Yugoslavia",2015,
"Yugoslavia",2016,
"Yugoslavia",2017,
"Yugoslavia",2018,
