cname1,year,milexpercap_sipri
"Sweden",2009,543.6
"Sweden",2010,626.8
"Sweden",2011,668.1
"Sweden",2012,654.3
"Sweden",2013,678.8
"Sweden",2014,676.4
"Sweden",2015,551.7
"Sweden",2016,551.8
"Sweden",2017,558
"Sweden",2018,574.9
"Switzerland",1993,525.7
"Switzerland",1994,562
"Switzerland",1995,664
"Switzerland",1996,602.4
"Switzerland",1997,494.9
"Switzerland",1998,492.7
"Switzerland",1999,442.3
"Switzerland",2000,392
"Switzerland",2001,385
"Switzerland",2002,399.2
"Switzerland",2003,449.9
"Switzerland",2004,478.4
"Switzerland",2005,471.7
"Switzerland",2006,446.4
"Switzerland",2007,467.7
"Switzerland",2008,537.7
"Switzerland",2009,525.7
"Switzerland",2010,527
"Switzerland",2011,629
"Switzerland",2012,573.4
"Switzerland",2013,620.7
"Switzerland",2014,562.1
"Switzerland",2015,544.9
"Switzerland",2016,545.5
"Switzerland",2017,547.4
"Switzerland",2018,546
"Turkey",1993,124.9
"Turkey",1994,92
"Turkey",1995,113
"Turkey",1996,126.4
"Turkey",1997,129.1
"Turkey",1998,143.2
"Turkey",1999,159.8
"Turkey",2000,158
"Turkey",2001,112.4
"Turkey",2002,138.9
"Turkey",2003,155.5
"Turkey",2004,163
"Turkey",2005,177.9
"Turkey",2006,189.6
"Turkey",2007,215.4
"Turkey",2008,238.7
"Turkey",2009,225
"Turkey",2010,244
"Turkey",2011,231.6
"Turkey",2012,237
"Turkey",2013,242.7
"Turkey",2014,227.6
"Turkey",2015,199.5
"Turkey",2016,223.3
"Turkey",2017,219.7
"Turkey",2018,238.6
"Ukraine",1993,2.4
"Ukraine",1994,13.4
"Ukraine",1995,15.3
"Ukraine",1996,20
"Ukraine",1997,28.9
"Ukraine",1998,18.3
"Ukraine",1999,12.6
"Ukraine",2000,14.3
"Ukraine",2001,15.3
"Ukraine",2002,18.2
"Ukraine",2003,23.2
"Ukraine",2004,28
"Ukraine",2005,35.8
"Ukraine",2006,44.8
"Ukraine",2007,61.7
"Ukraine",2008,72.8
"Ukraine",2009,50.5
"Ukraine",2010,56.5
"Ukraine",2011,54.9
"Ukraine",2012,62.4
"Ukraine",2013,63.9
"Ukraine",2014,66.4
"Ukraine",2015,65.9
"Ukraine",2016,65.8
"Ukraine",2017,73
"Ukraine",2018,94.2
"United Kingdom",1993,591.7
"United Kingdom",1994,597.2
"United Kingdom",1995,591.2
"United Kingdom",1996,593.5
"United Kingdom",1997,611.8
"United Kingdom",1998,630.1
"United Kingdom",1999,620.8
"United Kingdom",2000,598.3
"United Kingdom",2001,597.6
"United Kingdom",2002,668.5
"United Kingdom",2003,788.1
"United Kingdom",2004,901.4
"United Kingdom",2005,914.8
"United Kingdom",2006,945.1
"United Kingdom",2007,1073.7
"United Kingdom",2008,1055.9
"United Kingdom",2009,921.8
"United Kingdom",2010,915.3
"United Kingdom",2011,941.4
"United Kingdom",2012,906.6
"United Kingdom",2013,875
"United Kingdom",2014,904.6
"United Kingdom",2015,817.8
"United Kingdom",2016,725.8
"United Kingdom",2017,695.9
"United Kingdom",2018,743.1
"United States",1993,1220.3
"United States",1994,1174.8
"United States",1995,1115.7
"United States",1996,1073.1
"United States",1997,1079
"United States",1998,1057.5
"United States",1999,1070.2
"United States",2000,1136.2
"United States",2001,1165.8
"United States",2002,1317.4
"United States",2003,1520
"United States",2004,1686.3
"United States",2005,1807.5
"United States",2006,1875.1
"United States",2007,1961.3
"United States",2008,2164
"United States",2009,2304.6
"United States",2010,2388.3
"United States",2011,2414.4
"United States",2012,2309.2
"United States",2013,2146.7
"United States",2014,2032.8
"United States",2015,1975.3
"United States",2016,1980.9
"United States",2017,1989.5
"United States",2018,2086.5
"Yugoslavia",1993,
"Yugoslavia",1994,
"Yugoslavia",1995,
"Yugoslavia",1996,
"Yugoslavia",1997,
"Yugoslavia",1998,
"Yugoslavia",1999,
"Yugoslavia",2000,
"Yugoslavia",2001,
"Yugoslavia",2002,
"Yugoslavia",2003,
"Yugoslavia",2004,
"Yugoslavia",2005,
"Yugoslavia",2006,
"Yugoslavia",2007,
"Yugoslavia",2008,
"Yugoslavia",2009,
"Yugoslavia",2010,
"Yugoslavia",2011,
"Yugoslavia",2012,
"Yugoslavia",2013,
"Yugoslavia",2014,
"Yugoslavia",2015,
"Yugoslavia",2016,
"Yugoslavia",2017,
"Yugoslavia",2018,
